floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
9,9,1,36.0,11190000,Бибирево, Корнейчука,36Б,Бибирево,315213859
8,17,1,39.6,11200000,Некрасовка,Покровская ,17к3,Некрасовка,316604052
9,14,1,36.9,12600000,Ломоносовский, Вавилова,75,Профсоюзная,316393288
10,22,1,37.0,12000000,Отрадное,Высоковольтный проезд,1к3,Отрадное,314944008
5,9,1,36.0,15000000,Аэропорт, Усиевича,25К1,Сокол,316717155
3,17,1,37.7,12500000,Бескудниковский,Дмитровское шоссе,74К1,Верхние Лихоборы,311871795
14,16,1,37.9,12500000,Отрадное,Юрловский проезд,14к3,Бибирево,316738895
18,22,1,35.9,13310284,Ярославский, Красная Сосна,3,Свиблово,317518271
10,23,1,43.7,13950000,Богородское,3-я Гражданская ,21,Бульвар Рокоссовского,317497525
12,17,1,36.6,14500000,Крылатское,Крылатская ,29К2,Крылатское,317217102
11,12,1,35.0,8200000,Вешняки,Вешняковская ,11К1,Новогиреево,314430900
10,15,1,43.6,16990000,Богородское,Погонный проезд,3ак7,Белокаменная,316884858
11,16,1,35.7,17300000,Беговой,Скаковая ,34К4,Белорусская,315932490
12,16,1,36.1,11700000,Северное Тушино, Героев Панфиловцев,7К1,Планерная,316287047
6,12,1,31.6,12000000,Левобережный,Прибрежный проезд,7,Ховрино,316268133
4,12,1,32.4,12000000,Северное Тушино, Героев Панфиловцев,22К1,Планерная,317110643
5,14,1,35.5,15150000,Академический, Винокурова,13к1,Крымская,316355575
5,9,1,32.0,12600000,Таганский,Волгоградский проспект,15,Волгоградский проспект,316830268
10,33,1,32.0,12150000,Метрогородок,Тагильская ,3к2,Черкизовская,316469642
14,20,1,36.0,17950000,Головинский,Михалковская ,48к2,Коптево,316566188
24,25,1,39.9,15400000,Орехово-Борисово Южное, Генерала Белова,28к1,Домодедовская,315746214
1,14,1,34.0,12650000,Кунцево, Академика Павлова,27К1,Крылатское,310411849
14,24,1,34.4,19000000,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,317292090
10,19,1,47.0,13000000,Крюково,проспект Георгиевский,33к6,Зеленоград — Крюково,306926249
1,5,1,38.0,18500000,Замоскворечье,1-й Щипковский переулок,11/13,Серпуховская,316717627
13,27,1,36.0,17500000,Хорошевский, Зорге,9к2,Полежаевская,316171173
3,15,1,42.0,17000000,Можайский,Сколковское шоссе,40к3,Сетунь,316610836
19,25,1,42.3,13200000,Ново-Переделкино,Лукинская ,10,Переделкино,317023344
1,13,1,68.4,30000000,Басманный, Казакова,7,Курская,315825315
13,15,1,52.0,23900000,Останкинский,проспект Мира,95,Алексеевская,317483344
2,9,1,32.0,13840000,Свиблово, Седова,8К2,Свиблово,314222435
2,22,1,37.0,14200000,Лосиноостровский, Коминтерна,15,Бабушкинская,316005173
22,25,1,32.0,17500000,Бутырский, Добролюбова,8к3,Бутырская,314215966
8,9,1,31.0,12800000,Ломоносовский, Гарибальди,13К1,Новые Черёмушки,316188638
10,16,1,37.0,15799999,Ростокино,Сельскохозяйственная ,14к1,Улица Сергея Эйзенштейна,317108602
15,16,1,31.8,9500000,Некрасовка, Маршала Еременко,5к1,Некрасовка,315957058
7,12,1,35.0,15000000,Тверской, Бутырский Вал,34,Белорусская,317390384
3,5,1,38.7,10000000,Покровское-Стрешнево, Свободы,12/8,Тушинская,316387234
6,14,1,45.3,13500000,Ново-Переделкино,Новопеределкинская ,12,Боровское шоссе,316395487
11,16,1,36.0,8000000,Некрасовка,2-я Вольская ,26,Люберцы,316991254
2,5,1,30.7,10350000,Перово, Плющева,16,Перово,316729955
12,12,1,35.6,10600000,Северное Тушино,Планерная ,20к1,Планерная,311780434
5,9,1,34.9,10500000,Богородское,Миллионная ,13К1,Белокаменная,313084247
3,9,1,32.6,8700000,Ясенево,проезд Карамзина,1К3,Новоясеневская,314796926
22,24,1,42.0,15500000,Лианозово,Абрамцевская ,11К3,Алтуфьево,317504761
23,36,2,57.0,34000000,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,313841030
10,13,2,73.5,65000000,Раменки,Воробьевское шоссе,4,Поклонная,314846860
4,13,2,68.9,95000000,Раменки,Воробьевское шоссе,4,Поклонная,308413458
10,19,2,74.2,42330000,Даниловский,Г мкр,3,Крестьянская застава,317134118
10,20,2,62.65,32000000,Даниловский, Мустая Карима,12,Технопарк,317174557
11,17,2,57.4,15700000,Можайский,Витебская ,5,Рабочий посёлок,317079893
8,14,2,53.0,16950000,Люблино,Краснодарская ,10А,Депо,315236960
2,4,2,73.0,60000000,Тверской,1-й Колобовский переулок,16С1,Трубная,316775549
2,9,2,57.14,93000000,Таганский,Большой Николоворобинский переулок,9к12,Чкаловская,313833367
9,9,2,44.3,10500000,Лосиноостровский,Минусинская ,4,Бабушкинская,316423157
4,5,2,43.1,11200000,Измайлово,Измайловский проезд,6К2,Измайловская,315138788
18,28,2,53.0,26000000,Измайлово,Первомайская ,42к3,Измайловская,312604097
1,12,2,38.2,10700000,Черемушки, Каховка,22К5,Зюзино,304516413
8,13,2,83.4,57900000,Раменки,Винницкая ,8к2,Раменки,314844691
3,6,2,137.0,199990000,Замоскворечье,Садовническая набережная,7,Новокузнецкая,309819745
10,12,2,79.0,69000000,Тверской,2-я Брестская ,6,Маяковская,316015307
11,13,2,50.0,32700000,Таганский,Верхняя Сыромятническая ,2,Чкаловская,317323132
8,10,2,49.0,46999000,Тверской,Большой Гнездниковский переулок,10,Пушкинская,315335442
9,9,2,53.1,49900000,Тверской,Тверская ,8К2,Пушкинская,315335437
11,12,2,50.6,10599999,Капотня,4-й кв-л,6,Люблино,305510471
9,9,2,39.0,14490000,Зюзино,Перекопская ,10К1,Зюзино,316413600
1,3,2,85.2,115000000,Хорошево-Мневники,Таманская ,1,Народное Ополчение,311097615
5,12,2,45.1,24500000,Замоскворечье,3-й Монетчиковский переулок,17,Павелецкая,317165066
9,12,2,38.0,13850000,Войковский,3-я Радиаторская ,5к1,Стрешнево,317137381
4,5,2,44.0,12600000,Восточное Измайлово,Сиреневый бульвар,42/22К3,Щёлковская,317063972
17,34,2,102.9,109000000,Дорогомилово,Поклонная ,9,Поклонная,315258508
3,8,2,54.4,23000000,Гагаринский,Ленинский проспект,45,Ленинский проспект,317496508
2,17,2,100.0,79900000,Раменки,Ломоносовский проспект,25к2,Университет,316196150
5,7,2,53.0,81090000,Якиманка, Большая Полянка,44/2,Полянка,316572259
1,5,2,43.0,10950000,Измайлово,Измайловский проезд,6К2,Измайловская,314588171
6,9,2,44.1,14950000,Головинский,Фестивальная ,44,Грачёвская,314793832
22,22,2,40.0,13900000,Текстильщики,1-й Грайвороновский проезд,1,Текстильщики,316626936
14,41,2,48.0,30990000,Раменки,1-й Сетуньский проезд,8,Кутузовская,317398421
14,15,2,59.2,38500000,Нагатинский затон, Корабельная,15,Нагатинский Затон,312761872
2,12,2,48.0,13000000,Царицыно,Кавказский бульвар,21К2,Кантемировская,316429199
3,6,2,49.5,52500000,Хамовники,Зубовская ,7,Парк Культуры,316936068
1,22,2,39.0,16500000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,312483652
17,19,2,65.0,46000000,Хорошево-Мневники,Шелепихинская набережная,42к1,Мнёвники,316944758
11,14,2,71.0,39800000,Лефортово,шоссе Энтузиастов,3к2,Москва-Товарная,312178852
10,46,2,58.5,41800000,Даниловский,Дубининская ,59А,Серпуховская,317184838
9,13,2,73.8,42800000,Раменки,Винницкая ,8к1,Раменки,312895070
11,33,2,85.4,44000000,Щукино,Авиационная ,77к2,Щукинская,312780568
7,22,2,66.3,47900000,Якиманка,Мытная ,40к2,Серпуховская,316943977
7,22,2,100.0,54000000,Пресненский,Шмитовский проезд,16С1,Улица 1905 года,316201105
31,35,2,72.0,55000000,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,317209397
8,14,2,76.0,59900000,Даниловский, Архитектора Щусева,2к1,ЗИЛ,315928096
3,9,2,61.4,60000000,Басманный,Потаповский переулок,10,Чистые пруды,297766719
4,21,2,65.0,68000000,Пресненский,Мантулинская ,9к6,Москва-Сити,303546242
19,21,2,79.4,68400000,Басманный,площадь Курского Вокзала,1,Чкаловская,316201215
3,6,2,60.9,84900000,Тверской,1-я Тверская-Ямская ,2А,Маяковская,316484220
4,20,2,77.0,92400000,Пресненский,Дружинниковская ,15,Краснопресненская,314896853
4,6,2,75.1,93000000,Хамовники,Зубовская ,7,Парк Культуры,316716985
16,22,2,53.0,16900000,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,310730890
5,8,2,57.1,31000000,Ломоносовский,Ленинский проспект,78,Новаторская,314794183
10,12,2,57.0,31900000,Басманный,Бакунинская ,5,Бауманская,316123376
2,6,2,64.5,43500000,Арбат,Карманицкий переулок,2/5,Смоленская,317053323
45,68,2,73.2,60000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,293050405
11,13,2,60.0,65000000,Пресненский,Большая Садовая ,5к1,Маяковская,312764209
8,13,2,125.0,105000000,Пресненский,Большая Садовая ,5к1,Маяковская,316679542
11,12,2,39.5,16490000,Котловка, Винокурова,17К1,Крымская,317044444
8,13,2,40.74,26000000,Даниловский,Автозаводская ,23с931к3,Технопарк,303477912
15,22,2,56.0,27900000,Раменки, Столетова,15,Раменки,310765033
6,13,3,130.0,214500000,Пресненский,2-я Черногрязская ,6к2,Улица 1905 года,309179147
10,11,3,60.0,60000000,Якиманка, Серафимовича,2,Боровицкая,309775039
4,37,3,82.2,85000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,316900208
2,2,3,157.8,220920000,Хамовники, Пречистенка,33/19С2,Парк Культуры,309347478
26,39,3,122.0,109900000,Раменки,Минская ,2,Минская,316086488
10,34,3,84.0,76000000,Дорогомилово,Поклонная ,9,Поклонная,316740849
14,34,3,100.9,110990000,Дорогомилово,Поклонная ,9,Поклонная,317137297
9,9,3,80.0,40000000,Фили-Давыдково, Ивана Франко,6,Кунцевская,316412702
7,24,3,66.0,54500000,Беговой,Верхняя ,20к1,Белорусская,307460209
8,42,3,130.0,90000000,Раменки,Мосфильмовская ,70к5,Ломоносовский проспект,313643920
19,34,3,84.5,105625000,Дорогомилово,Поклонная ,9,Поклонная,315335847
10,34,3,102.6,120000000,Дорогомилово,Поклонная ,9,Поклонная,316681242
13,32,3,86.7,95000000,Дорогомилово,Поклонная ,9,Поклонная,316368875
25,75,3,187.9,125000000,Пресненский,набережная Пресненская,8с1,Деловой центр,301266879
39,47,3,144.4,65000000,Раменки,Мосфильмовская ,70к2,Ломоносовский проспект,311255086
1,9,3,53.0,12200000,Новогиреево,Союзный проспект,10,Новогиреево,316258419
2,4,3,140.0,167463294,Мещанский,Рождественский бульвар,10/7С1,Трубная,315798564
15,16,3,124.7,205000000,Раменки,Воробьевское шоссе,4,Поклонная,314592214
6,16,3,124.7,199000000,Раменки,Воробьевское шоссе,4,Поклонная,316584977
6,9,3,58.0,11700000,Солнцево, 50 лет Октября,5,Говорово,316419923
18,48,3,124.0,49990000,Хорошево-Мневники,проспект Маршала Жукова,78,Серебряный Бор,311352185
16,41,3,91.0,108000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,314889861
2,16,3,99.0,148800000,Раменки,Воробьевское шоссе,4,Поклонная,310507662
10,14,3,75.0,45500000,Раменки,проспект Генерала Дорохова,39к2Г,Минская,314491759
5,9,3,96.3,79000000,Тверской,Тверская ,15,Тверская,315150423
21,32,3,136.1,110000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,315456914
6,16,3,124.7,199500000,Раменки,Воробьевское шоссе,4,Поклонная,316086491
12,23,3,82.0,30000000,Коньково, Островитянова,53,Беляево,316440107
2,22,3,73.4,19900000,Орехово-Борисово Северное,Борисовский проезд,1К2,Домодедовская,316986280
7,17,3,108.8,54000000,Раменки,Мичуринский проспект,11К4,Раменки,312794034
9,9,3,70.0,40000000,Фили-Давыдково, Ивана Франко,6,Кунцевская,314795707
2,18,3,99.2,57975500,Хамовники,Комсомольский проспект,32,Фрунзенская,314198799
4,8,3,134.0,170000000,Красносельский,Милютинский переулок,3,Лубянка,316826365
11,14,3,69.0,41488700,Раменки,проспект Генерала Дорохова,39к1В,Поклонная,313077646
20,20,3,69.0,51000000,Раменки, Василия Ланового,3,Аминьевская,311370408
66,79,3,113.0,120000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,316487121
9,14,3,67.0,57000000,Раменки,проспект Генерала Дорохова,39к1Б,Поклонная,316941185
10,16,3,159.4,157000000,Арбат,1-й Смоленский переулок,17,Смоленская,314433652
37,41,3,82.3,82500000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,305070032
5,14,3,73.0,61988700,Раменки,проспект Генерала Дорохова,39к1Д,Минская,314240087
3,14,3,105.2,210000000,Хамовники, Усачева,15А,Спортивная,312676566
28,41,3,88.6,77000000,Хорошевский,Ленинградский проспект,37/7,Аэропорт,314287577
13,34,3,88.0,90000000,Дорогомилово,Поклонная ,9,Поклонная,313926205
12,12,3,148.7,208180000,Тверской,2-я Брестская ,6,Маяковская,309039247
6,11,3,115.0,230000000,Хамовники, Усачева,15А,Спортивная,312676561
13,23,3,124.0,47400000,Савеловский,2-я Квесисская ,20к1,Савёловская,309347483
5,6,3,106.4,105000000,Хамовники,Комсомольский проспект,9А,Парк Культуры,305726543
9,17,3,72.0,16800000,Орехово-Борисово Северное,Шипиловский проезд,39К2,Орехово,317042042
4,5,3,75.1,29300000,Хорошевский,Хорошевское шоссе,34,Беговая,315690262
12,12,3,109.9,153860000,Тверской,2-я Брестская ,6,Маяковская,315159153
4,15,3,87.0,185000000,Хамовники,Олсуфьевский переулок,9к2,Фрунзенская,311970488
4,6,3,93.1,250000000,Замоскворечье,Садовническая набережная,7,Новокузнецкая,316160021
9,19,3,146.0,87900000,Даниловский, Эдуарда Стрельцова,2к2,Крестьянская застава,317145425
30,65,3,120.0,139990000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,315035572
20,20,3,137.0,143000000,Пресненский,Мантулинская ,9к6,Москва-Сити,316033726
3,7,3,110.0,176000000,Замоскворечье,Садовническая ,57С2,Новокузнецкая,317366956
5,7,3,160.0,183000000,Якиманка, Большая Полянка,44,Полянка,294031984
12,12,3,81.2,59900000,Сокол, Врубеля,4к1,Сокол,303902409
6,7,3,82.0,32000000,Даниловский,2-й Автозаводский проезд,5,Автозаводская,316201119
3,24,3,104.0,38399000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,309888239
36,37,3,109.0,45000000,Ростокино,проспект Мира,188Бк4,Ростокино,309673332
28,39,3,71.0,46500000,Раменки, Лобачевского,120к1,Аминьевская,303447463
21,36,3,86.5,48900000,Хорошево-Мневники,Шелепихинская набережная,34к1зд5,Шелепиха,312975296
12,12,3,81.2,59900000,Сокол, Врубеля,4к1,Сокол,298466120
14,28,1,38.0,20000000,Можайский,переулок 2-й Петра Алексеева,5,Рабочий посёлок,315353756
5,9,1,33.0,10150000,Северное Тушино,Туристская ,20К2,Планерная,307498870
6,20,1,36.2,23800000,Даниловский,проспект Лихачева,12к2,Технопарк,316106135
3,9,1,32.7,10200000,Чертаново Южное, Подольских Курсантов,18К1,Пражская,316125122
8,9,1,32.6,8000000,Ивановское, Сталеваров,8/22К1,Новогиреево,317159764
15,58,1,47.0,25500000,Ростокино, Сергея Эйзенштейна,8С9,Ботанический сад,314580697
